Time Vx
 0.000000000E+00 1.315174937E+00
 1.592684537E-02 1.336562991E+00
 3.185369074E-02 1.352179170E+00
 4.778053612E-02 1.344539523E+00
 6.370738149E-02 1.324988604E+00
 7.963422686E-02 1.311990380E+00
 9.556107223E-02 1.300936699E+00
 1.114879176E-01 1.292026162E+00
 1.274147630E-01 1.296588540E+00
 1.433416009E-01 1.313108087E+00
 1.592684537E-01 1.327147365E+00
 1.751952916E-01 1.326335907E+00
 1.911221445E-01 1.323794484E+00
 2.070489973E-01 1.339747429E+00
 2.229758352E-01 1.366004109E+00
 2.389026731E-01 1.361564279E+00
 2.548295259E-01 1.312801838E+00
 2.707563937E-01 1.283115745E+00
 2.866832018E-01 1.290173650E+00
 3.026100397E-01 1.311515808E+00
 3.185369074E-01 1.335430026E+00
 3.344637454E-01 1.345121264E+00
 3.503905833E-01 1.328173041E+00
 3.663174510E-01 1.304702878E+00
 3.822442889E-01 1.282610536E+00
 3.981711268E-01 1.262860656E+00
 4.140979946E-01 1.263488412E+00
 4.300248325E-01 1.289454222E+00
 4.459516704E-01 1.326749325E+00
 4.618785083E-01 1.359252453E+00
 4.778053463E-01 1.361701965E+00
 4.937321842E-01 1.322003126E+00
 5.096590519E-01 1.277971625E+00
 5.255858898E-01 1.270561576E+00
 5.415127873E-01 1.285672545E+00
 5.574395657E-01 1.301977634E+00
 5.733664036E-01 1.316124201E+00
 5.892933011E-01 1.325769424E+00
 6.052200794E-01 1.332123160E+00
 6.211469769E-01 1.337144732E+00
 6.370738149E-01 1.330607414E+00
 6.530006528E-01 1.309035659E+00
 6.689274907E-01 1.283866048E+00
 6.848543882E-01 1.280987740E+00
 7.007811666E-01 1.306279778E+00
 7.167080641E-01 1.324437499E+00
 7.326349020E-01 1.321161151E+00
 7.485616803E-01 1.328264952E+00
 7.644885778E-01 1.353220344E+00
 7.804154158E-01 1.342350125E+00
 7.963422537E-01 1.277267337E+00
 8.122690916E-01 1.254149318E+00
 8.281959891E-01 1.292393684E+00
 8.441227674E-01 1.345151901E+00
 8.600496650E-01 1.371822000E+00
 8.759765029E-01 1.315741420E+00
 8.919033408E-01 1.269428730E+00
 9.078301787E-01 1.277619481E+00
 9.237570167E-01 1.287632227E+00
 9.396838546E-01 1.296236515E+00
 9.556106925E-01 1.308821201E+00
 9.715375900E-01 1.317517400E+00
 9.874643683E-01 1.318772793E+00
 1.003391266E+00 1.325723529E+00
 1.019318104E+00 1.346499205E+00
 1.035244942E+00 1.363539219E+00
 1.051171780E+00 1.342610478E+00
 1.067098618E+00 1.291276097E+00
 1.083025575E+00 1.269796133E+00
 1.098952293E+00 1.298410416E+00
 1.114879131E+00 1.337007046E+00
 1.130806088E+00 1.338400126E+00
 1.146732807E+00 1.312572241E+00
 1.162659645E+00 1.325922608E+00
 1.178586602E+00 1.349729657E+00
 1.194513440E+00 1.329306126E+00
 1.210440159E+00 1.274894238E+00
 1.226367116E+00 1.233603239E+00
 1.242293954E+00 1.231857896E+00
 1.258220792E+00 1.276333451E+00
 1.274147630E+00 1.344753861E+00
 1.290074468E+00 1.369464159E+00
 1.306001306E+00 1.305223465E+00
 1.321928144E+00 1.254547358E+00
 1.337854981E+00 1.292010903E+00
 1.353781819E+00 1.330500245E+00
 1.369708776E+00 1.314562559E+00
 1.385635495E+00 1.265463352E+00
 1.401562333E+00 1.259966969E+00
 1.417489290E+00 1.302850366E+00
 1.433416128E+00 1.362390995E+00
 1.449342847E+00 1.380916119E+00
 1.465269804E+00 1.318803430E+00
 1.481196642E+00 1.293557286E+00
 1.497123361E+00 1.306769729E+00
 1.513050318E+00 1.309862375E+00
 1.528977156E+00 1.307091236E+00
 1.544903994E+00 1.307841420E+00
 1.560830832E+00 1.315955758E+00
 1.576757669E+00 1.326978922E+00
 1.592684507E+00 1.327637196E+00
 1.608611465E+00 1.313031554E+00
 1.624538183E+00 1.304794669E+00
 1.640465021E+00 1.319890380E+00
 1.656391978E+00 1.341002822E+00
 1.672318697E+00 1.347417831E+00
 1.688245535E+00 1.356680274E+00
 1.704172492E+00 1.372924209E+00
 1.720099330E+00 1.318145156E+00
 1.736026049E+00 1.211893678E+00
 1.751953006E+00 1.189923882E+00
 1.767879844E+00 1.228841901E+00
 1.783806682E+00 1.289622545E+00
 1.799733520E+00 1.372556806E+00
 1.815660357E+00 1.379553556E+00
 1.831587195E+00 1.270270705E+00
 1.847514033E+00 1.267377138E+00
 1.863440871E+00 1.283942580E+00
 1.879367709E+00 1.252694845E+00
 1.895294666E+00 1.233878851E+00
 1.911221385E+00 1.253353119E+00
 1.927148223E+00 1.294429898E+00
 1.943075180E+00 1.333531618E+00
 1.959002018E+00 1.342579842E+00
 1.974928737E+00 1.323932290E+00
 1.990855694E+00 1.321176529E+00
 2.006782532E+00 1.327928185E+00
 2.022709370E+00 1.332842708E+00
 2.038636208E+00 1.333057046E+00
 2.054562807E+00 1.322921872E+00
 2.070489883E+00 1.309816480E+00
 2.086416721E+00 1.308606982E+00
 2.102343559E+00 1.321758270E+00
 2.118270397E+00 1.338905454E+00
 2.134197235E+00 1.338277698E+00
 2.150124073E+00 1.308254838E+00
 2.166051149E+00 1.285596013E+00
 2.181977749E+00 1.304855943E+00
 2.197904587E+00 1.352914095E+00
 2.213831425E+00 1.380916119E+00
 2.229758263E+00 1.326397181E+00
 2.245685101E+00 1.275414944E+00
 2.261612177E+00 1.288489580E+00
 2.277539015E+00 1.307657719E+00
 2.293465614E+00 1.319568872E+00
 2.309392452E+00 1.334128737E+00
 2.325319290E+00 1.350005269E+00
 2.341246128E+00 1.351704597E+00
 2.357173204E+00 1.333393812E+00
 2.373100042E+00 1.308576345E+00
 2.389026880E+00 1.286652327E+00
 2.404953480E+00 1.276961207E+00
